Dan,Bars,2.5
Dan,Food,3.733333333
Dan,Thai,3
Dan,Used,3
Dan,Zoos,4
Dan,Cafes,4
Dan,Greek,2
Dan,Irish,3
Dan,Parks,4
Dan,Cinema,3
Dan,Tennis,4
Dan,Burgers,3
Dan,Fashion,3
Dan,Framing,4
Dan,Grocery,4
Dan,Italian,3
Dan,Jewelry,4
Dan,Museums,4.5
Dan,Seafood,2
Dan,Bakeries,4
Dan,Barbeque,4
Dan,Desserts,4
Dan,Shopping,4
Dan,Southern,4
Dan,Aquariums,5
Dan,Dog Parks,3.5
Dan,Education,1
Dan,Fast Food,2.5
Dan,Festivals,3
Dan,Nightlife,2.666666667
Dan,Wine Bars,3
Dan,Automotive,3
Dan,Sandwiches,2.5
Dan,Tapas Bars,2
Dan,Active Life,4.166666667
Dan,Car Dealers,3
Dan,Food Trucks,3
Dan,Hobby Shops,4
Dan,Restaurants,3.083333333
Dan,Steakhouses,3
Dan,Art Supplies,4
Dan,Asian Fusion,3.5
Dan,Coffee & Tea,4
Dan,Comedy Clubs,3
Dan,Comfort Food,4
Dan,Fish & Chips,2
Dan,Local Flavor,3
Dan,Ticket Sales,3
Dan,Art Galleries,5
Dan,Arts & Crafts,4
Dan,Mediterranean,2
Dan,Observatories,3
Dan,American (New),2.5
Dan,Canadian (New),2.333333333
Dan,Farmers Market,3.5
Dan,Specialty Food,3.5
Dan,Train Stations,3
Dan,Transportation,3.5
Dan,Hotels & Travel,3.5
Dan,Performing Arts,3
Dan,Knitting Supplies,4
Dan,Breakfast & Brunch,3.5
Dan,Arts & Entertainment,3.5
Dan,Chocolatiers & Shops,4
Dan,Public Transportation,3.5
Dan,Venues & Event Spaces,3
Dan,Vintage & Consignment,3
Dan,American (Traditional),4.5
Dan,Juice Bars & Smoothies,4
Dan,Colleges & Universities,1
Dan,Event Planning & Services,3
Dan,Ice Cream & Frozen Yogurt,4
Dan,Public Services & Government,3
Dan,Landmarks & Historical Buildings,3
Kim,Bars,5
Kim,Food,4
Kim,Grocery,4
Kim,Museums,5
Kim,Bakeries,4
Kim,Breweries,4
Kim,Nightlife,5
Kim,Ethnic Food,4
Kim,Restaurants,5
Kim,Mediterranean,5
Kim,American (New),5
Kim,Specialty Food,4
Kim,Arts & Entertainment,5
Kim,International Grocery,4
Rob,Bars,4
Rob,Food,4.1
Rob,Soup,5
Rob,Thai,4
Rob,Cafes,3.666666667
Rob,Pizza,3.333333333
Rob,Salad,5
Rob,Diners,3
Rob,French,4.4
Rob,Gelato,3
Rob,Hotels,4
Rob,Korean,4
Rob,Buffets,4.5
Rob,Burgers,3
Rob,Casinos,3.5
Rob,Chinese,5
Rob,Italian,3.25
Rob,Lounges,4
Rob,Noodles,4
Rob,Resorts,4
Rob,Seafood,4.333333333
Rob,Spanish,4
Rob,Bakeries,3.833333333
Rob,Caterers,5
Rob,Desserts,3.8
Rob,Japanese,3.5
Rob,Macarons,3
Rob,Southern,5
Rob,Nightlife,3.894736842
Rob,Wine Bars,3.5
Rob,Automotive,4
Rob,Sandwiches,4.2
Rob,Sushi Bars,3.2
Rob,Vegetarian,4
Rob,Vietnamese,4
Rob,Car Dealers,4
Rob,Dance Clubs,3.75
Rob,Restaurants,3.904761905
Rob,Singaporean,5
Rob,Steakhouses,3.666666667
Rob,Asian Fusion,4
Rob,Chicken Shop,5
Rob,Coffee & Tea,3
Rob,Music Venues,5
Rob,Mediterranean,4
Rob,American (New),4.222222222
Rob,Specialty Food,3
Rob,Hotels & Travel,4
Rob,Breakfast & Brunch,4
Rob,Tapas/Small Plates,4
Rob,Arts & Entertainment,4
Rob,Venues & Event Spaces,5
Rob,American (Traditional),3
Rob,Food Delivery Services,5
Rob,Event Planning & Services,4.4
Rob,Ice Cream & Frozen Yogurt,3
Eric,Bars,4
Eric,Food,3.625
Eric,Mags,3.333333333
Eric,Pubs,4
Eric,Thai,3
Eric,Books,3.333333333
Eric,Cafes,3.666666667
Eric,Delis,3.5
Eric,Limos,3
Eric,Parks,3
Eric,Pizza,3
Eric,Tires,3
Eric,Diners,3
Eric,Donuts,4
Eric,French,3.5
Eric,Hotels,3.5
Eric,Korean,3
Eric,Barbers,4
Eric,British,4
Eric,Burgers,2.5
Eric,Casinos,3
Eric,Fashion,3.6
Eric,Grocery,3.5
Eric,Italian,3
Eric,Lounges,5
Eric,Mexican,3
Eric,Museums,4.333333333
Eric,Seafood,5
Eric,Airlines,3
Eric,Airports,3.25
Eric,Bakeries,3.5
Eric,Caterers,4
Eric,Churches,4
Eric,Desserts,3.5
Eric,Shopping,3.611111111
Eric,Aquariums,4
Eric,Fast Food,3
Eric,Nightlife,4
Eric,Automotive,3
Eric,Bookstores,3.333333333
Eric,Home Decor,3
Eric,Mass Media,4
Eric,Sandwiches,3.333333333
Eric,Street Art,5
Eric,Accessories,4
Eric,Active Life,3.333333333
Eric,Hair Salons,4
Eric,Hobby Shops,3
Eric,Restaurants,3.5
Eric,Sports Bars,2
Eric,Steakhouses,4.5
Eric,Asian Fusion,3
Eric,Coffee & Tea,4
Eric,Local Flavor,5
Eric,Ticket Sales,4
Eric,Art Galleries,4
Eric,Beauty & Spas,4
Eric,Home & Garden,3
Eric,Leather Goods,4
Eric,Music & Video,3.333333333
Eric,Observatories,4
Eric,Travel Agents,3
Eric,American (New),3
Eric,Canadian (New),2
Eric,Farmers Market,4
Eric,Local Services,4
Eric,Men's Clothing,4
Eric,Radio Stations,4
Eric,Train Stations,4
Eric,Transportation,3.4
Eric,Baseball Fields,3
Eric,Hardware Stores,3
Eric,Hotels & Travel,3.416666667
Eric,Performing Arts,4.666666667
Eric,Travel Services,3
Eric,Airport Shuttles,3
Eric,Office Equipment,3
Eric,Shopping Centers,3
Eric,Wedding Planning,4
Eric,Women's Clothing,4
Eric,Botanical Gardens,4
Eric,Department Stores,3.5
Eric,Stadiums & Arenas,3.666666667
Eric,Breakfast & Brunch,3.666666667
Eric,Television Stations,4
Eric,Arts & Entertainment,3.944444444
Eric,Public Transportation,4
Eric,Venues & Event Spaces,3
Eric,American (Traditional),3
Eric,Gas & Service Stations,3
Eric,Religious Organizations,4
Eric,Cosmetics & Beauty Supply,4
Eric,Event Planning & Services,3.5
Eric,Public Services & Government,3.875
Eric,Landmarks & Historical Buildings,3.875
Bruce,Bars,3.640625
Bruce,Beer,3.782608696
Bruce,Food,3.676348548
Bruce,Gyms,4
Bruce,Mags,3.421052632
Bruce,Pets,3.545454545
Bruce,Pubs,3.388888889
Bruce,Soup,3.7
Bruce,Thai,3.333333333
Bruce,Used,4
Bruce,Bikes,3
Bruce,Books,3.421052632
Bruce,Buses,5
Bruce,Cafes,3.944444444
Bruce,Cuban,4
Bruce,Delis,3.769230769
Bruce,Greek,3.818181818
Bruce,Irish,3
Bruce,Lakes,4
Bruce,Parks,4.25
Bruce,Pizza,3.72972973
Bruce,Ramen,4
Bruce,Salad,3.590909091
Bruce,Tacos,5
Bruce,Taxis,4.25
Bruce,Tires,3.777777778
Bruce,Tours,3.666666667
Bruce,Vegan,4
Bruce,Bagels,3.769230769
Bruce,Cinema,3.666666667
Bruce,Diners,3.941176471
Bruce,Donuts,4
Bruce,French,3.857142857
Bruce,German,4.75
Bruce,Hiking,4
Bruce,Hotels,3.470588235
